time	ke_at_point[J/kg]
0.4805	854.382
0.481	855.197
0.4815	856.953
0.482	859.228
0.4825	861.391
0.483	863.641
0.4835	865.901
0.484	867.368
0.4845	868.062
0.485	868.151
0.4855	868.016
0.486	867.989
0.4865	868.248
0.487	868.529
0.4875	868.638
0.488	869.224
0.4885	869.737
0.489	870.9
0.4895	872.625
0.49	874.682
0.4905	876.863
0.491	878.601
0.4915	879.038
0.492	877.926
0.4925	875.837
0.493	873.686
0.4935	871.746
0.494	870.921
0.4945	870.777
0.495	871.379
0.4955	871.996
0.496	872.694
0.4965	873.921
0.497	875.509
0.4975	877.781
0.498	881.026
0.4985	884.757
0.499	887.91
0.4995	890.428
0.5	892.453
